	Kingdom	Phylum	Class	Order	Family	Genus
OTU_4985	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured
OTU_4986	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Sedimentibacteraceae	Sedimentibacter
OTU_4987	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_4988	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caedibacterales	Caedibacteraceae	Caedibacter
OTU_499	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella
OTU_4990	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified
OTU_4991	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured
OTU_4992	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage_IV	Lineage_IV_fa	Lineage_IV_ge
OTU_4993	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Longispora
OTU_4994	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Iamiaceae	Iamia
OTU_4995	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	Vermiphilaceae_ge
OTU_4996	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacteraceae_unclassified
OTU_4997	Bacteria	Actinobacteriota	Actinobacteria	Actinobacteria_unclassified	Actinobacteria_unclassified	Actinobacteria_unclassified
OTU_4998	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	SWB02
OTU_4999	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Streptosporangium
OTU_5	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella
OTU_50	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Klenkia
OTU_500	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured_ge
OTU_5000	Bacteria	Elusimicrobiota	Lineage_IIa	Lineage_IIa_or	Lineage_IIa_fa	Lineage_IIa_ge
OTU_5002	Bacteria	unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified
OTU_5003	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Tolumonas
OTU_5004	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas
OTU_5005	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified
OTU_5006	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20_fa	0319-6G20_ge
OTU_5007	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Micromonosporaceae_unclassified
OTU_5008	Bacteria	Planctomycetota	Phycisphaerae	CCM11a	CCM11a_fa	CCM11a_ge
OTU_5009	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Candidatus_Chloroploca
OTU_501	Bacteria	Alphaproteobacteria	Alphaproteobacteria	Elsterales	uncultured	uncultured_ge
OTU_5010	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02
OTU_5011	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_5012	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia
OTU_5013	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14_ge
OTU_5014	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexales_unclassified	Chloroflexales_unclassified
OTU_5015	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
OTU_5016	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexaceae_unclassified
OTU_5017	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_unclassified
OTU_5018	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium
OTU_5019	Bacteria	Gammaproteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified
