SampleID	Site	Sitetre	Group	Soiltype	ComTreament	Comparts	SiteCom	Maize.variety	Growing.day
XEYYNPKM9	YY	YYNPKM	NPKM	FS	XEYYNPKM	XE	YYXE	JD20	66d
XECCCK1	CC	CCCK	CK	BS	XECCCK	XE	CCXE	LY66	115d
XECCCK2	CC	CCCK	CK	BS	XECCCK	XE	CCXE	LY66	115d
XECCCK3	CC	CCCK	CK	BS	XECCCK	XE	CCXE	LY66	115d
XECCNPK1	CC	CCNPK	NPK	BS	XECCNPK	XE	CCXE	LY66	115d
XECCNPK2	CC	CCNPK	NPK	BS	XECCNPK	XE	CCXE	LY66	115d
XECCNPK3	CC	CCNPK	NPK	BS	XECCNPK	XE	CCXE	LY66	115d
XECCNPKM1	CC	CCNPKM	NPKM	BS	XECCNPKM	XE	CCXE	LY66	115d
XECCNPKM2	CC	CCNPKM	NPKM	BS	XECCNPKM	XE	CCXE	LY66	115d
XECCNPKM3	CC	CCNPKM	NPKM	BS	XECCNPKM	XE	CCXE	LY66	115d
XEJX20CK1	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK2	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK3	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK4	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK5	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK6	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK7	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK8	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20CK9	JX20	JX20CK	CK	RS	XEJX20CK	XE	JX20XE	YD13	77d
XEJX20NPK1	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK2	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK3	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK4	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK5	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK6	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK7	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK8	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPK9	JX20	JX20NPK	NPK	RS	XEJX20NPK	XE	JX20XE	YD13	77d
XEJX20NPKM1	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM2	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM3	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM4	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM5	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM6	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM7	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM8	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEJX20NPKM9	JX20	JX20NPKM	NPKM	RS	XEJX20NPKM	XE	JX20XE	YD13	77d
XEHL20CK1	HL20	HL20CK	CK	BS	XEHL20CK	XE	HL20XE	KW6	102d
XEHL20CK2	HL20	HL20CK	CK	BS	XEHL20CK	XE	HL20XE	KW6	102d
XEHL20CK3	HL20	HL20CK	CK	BS	XEHL20CK	XE	HL20XE	KW6	102d
XEHL20NPK1	HL20	HL20NPK	NPK	BS	XEHL20NPK	XE	HL20XE	KW6	102d
XEHL20NPK2	HL20	HL20NPK	NPK	BS	XEHL20NPK	XE	HL20XE	KW6	102d
XEHL20NPK3	HL20	HL20NPK	NPK	BS	XEHL20NPK	XE	HL20XE	KW6	102d
XEHL20NPKM1	HL20	HL20NPKM	NPKM	BS	XEHL20NPKM	XE	HL20XE	KW6	102d
