	site1	site2	comm_sim	site_dis	compartment
253	SECCNPK1	SEQYNPK8	0.584136363636364	2254915.66494674	SE
254	SECCNPK1	SEQYNPK9	0.586772727272727	2254915.66494674	SE
255	SECCNPK1	SEQYNPKM1	0.589181818181818	2254915.66494674	SE
256	SECCNPK1	SEQYNPKM2	0.581272727272727	2254915.66494674	SE
257	SECCNPK1	SEQYNPKM3	0.574454545454545	2254915.66494674	SE
258	SECCNPK1	SEQYNPKM4	0.502863636363636	2254915.66494674	SE
259	SECCNPK1	SEQYNPKM5	0.599590909090909	2254915.66494674	SE
260	SECCNPK1	SEQYNPKM6	0.592636363636364	2254915.66494674	SE
261	SECCNPK1	SEQYNPKM7	0.572	2254915.66494674	SE
262	SECCNPK1	SEQYNPKM8	0.5605	2254915.66494674	SE
263	SECCNPK1	SEQYNPKM9	0.549681818181818	2254915.66494674	SE
264	SECCNPK1	SEYCCK1	0.416	1078859.66222909	SE
265	SECCNPK1	SEYCCK2	0.396545454545455	1078859.66222909	SE
266	SECCNPK1	SEYCCK3	0.0625909090909091	1078859.66222909	SE
267	SECCNPK1	SEYCCK4	0.279409090909091	1078859.66222909	SE
268	SECCNPK1	SEYCCK5	0.375590909090909	1078859.66222909	SE
269	SECCNPK1	SEYCCK6	0.309636363636364	1078859.66222909	SE
270	SECCNPK1	SEYCCK7	0.252045454545455	1078859.66222909	SE
271	SECCNPK1	SEYCCK8	0.321181818181818	1078859.66222909	SE
272	SECCNPK1	SEYCCK9	0.273727272727273	1078859.66222909	SE
273	SECCNPK1	SEYCNPK2	0.274545454545455	1078859.66222909	SE
274	SECCNPK1	SEYCNPK3	0.278	1078859.66222909	SE
275	SECCNPK1	SEYCNPK4	0.418181818181818	1078859.66222909	SE
276	SECCNPK1	SEYCNPK5	0.318954545454545	1078859.66222909	SE
277	SECCNPK1	SEYCNPK6	0.299454545454545	1078859.66222909	SE
278	SECCNPK1	SEYCNPK7	0.256681818181818	1078859.66222909	SE
279	SECCNPK1	SEYCNPK8	0.412	1078859.66222909	SE
280	SECCNPK1	SEYCNPK9	0.591318181818182	1078859.66222909	SE
281	SECCNPK1	SEYCNPKM1	0.768181818181818	1078859.66222909	SE
282	SECCNPK1	SEYCNPKM2	0.6595	1078859.66222909	SE
283	SECCNPK1	SEYCNPKM3	0.196363636363636	1078859.66222909	SE
284	SECCNPK1	SEYCNPKM4	0.570863636363636	1078859.66222909	SE
285	SECCNPK1	SEYCNPKM5	0.563681818181818	1078859.66222909	SE
