	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_37	2	0	2	2	2	0	2	3	4	67	9	3	5	5	0	2	2406	8	18	33	4	8	8	5	1	4	4	1	5	25	502	9	1	6	3	5	89	4	1	1	0	2	0	2	0	4	0	1	0	1	1	0	27	136	1	67	6	5	2	2	0	0	46	0	16	0	2	3	18	16	5	5	4	5	9	2	1	0	1	1	7	5	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	5	21	1	1	1	0	0	0	0	0	1
OTU_15	5	2	9	34	14	9	6	13	11	118	6	6	5	6	4	7	4	350	18	29	84	20	76	13	7	12	9	8	9	6	8	12	6	9	8	12	12	5	3	3	0	5	3	4	7	10	5	7	4	8	963	941	6	27	10	13	8	11	3	9	5	11	4	3	6	3	4	14	20	6	9	7	3	7	3	15	9	12	8	22	18	9	10	12	2	1	5	3	6	3	6	7	7	8	4	5	4	2	6	2	4	3	1	3	1	2	2	4	1	3	2	9	5	20	11	22	18	8	22
OTU_13615	3	3	10	4	2	5	2	4	3	4	10	11	8	17	17	4	4	74	23	13	19	6	17	3	2	9	21	5	6	42	4	10	4	9	12	16	22	27	16	14	3	10	28	28	19	20	13	10	18	2	9	11	8	16	10	57	18	59	133	77	245	24	31	23	16	29	27	378	288	56	54	16	10	15	25	28	44	54	44	29	11	41	12	26	3	12	40	9	13	16	14	20	7	9	39	10	8	15	7	13	28	9	7	16	10	49	4	35	8	161	8	38	35	23	21	35	24	26	23
OTU_4	39	44	58	41	63	65	50	42	67	39	82	60	69	78	85	64	45	194	170	174	82	120	120	83	45	67	92	70	74	65	81	66	68	71	102	109	138	62	1	0	1	3	2	1	0	3	0	0	1	1	0	0	0	0	0	1	2	2	0	1	2	3	0	1	0	0	0	0	0	1	5	2	1	2	1	3	15	4	2	4	5	0	4	4	1	5	5	0	4	3	6	5	3	6	5	2	8	1	5	2	5	3	6	2	1	3	1	2	2	1	2	25	3	14	13	14	19	19	19
OTU_286	0	0	0	0	0	0	0	1	0	0	117	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	1	8	2	3	0	14	5	4	1	8	1	4	2	28	7	14	8	12	11	11	10	10	11	2	8	4	2	10	192	10	15	21	1493	1065	3	11	5	5	10	13	20	3	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3415	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	4	1	2	5	4	2	3	0	2	6	3	2500	23	4	3	4	8	5	3	5	2	6	2	4	0	1	4	180	5	5	60	16	6	8	4	5	2	1	3	10	3	16	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
OTU_331	9	5	0	2	5	2	3	2023	3	2	37	2	53	4	5	1	8	3	124	39	17	4	3	2	4	5	2	2	4	9	4	1	2	2	5	3	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	1	3	2	5	2	0	1	2	1	1	1	0	2	0	1	0	0	0	0	0	2	264	0	2	3	1	1	2	2	4	2
OTU_1735	1	1	13	6	4	4	2	3	6	3	3	0	4	7	17	2	7	8	33	10	24	45	12	3	3	4	10	4	7	26	9	3	8	47	30	9	26	7	146	8	2	2	6	9	26	5	8	0	8	3	1	3	8	5	4	12	4	7	5	7	7	21	12	2	4	4	3	12	4	5	8	10	6	3	5	16	34	31	33	57	7	4	7	20	4	7	8	6	8	11	5	9	12	22	11	6	9	7	2	6	6	8	6	1	10	1	2	5	0	2	8	71	55	647	375	34	126	39	28
OTU_94	1	0	3	0	0	9	0	138	2	0	150	0	2	1	0	2	6	3	7	4	4	0	173	1	0	0	1	0	0	1	3	1	1	0	0	3	6	0	1	0	0	1	0	5	0	4	1	0	0	0	1	1	173	4	4	4	2	6	1	1	5	3	5	0	1	1	257	8	5	114	0	4	2	3	241	3	0	0	5	3	5	7	5	3	1	5	3	3	7	4	4	5	2	7	2	1	2	1	2	4	1	4	7	64	1	47	5	0	0	6	828	5	6	11	13	5	9	6	4
OTU_3691	2	1	2	2	4	3	8	4	1	0	17	23	2	26	0	19	0	63	1	2	2	0	27	2	2	0	3	1	4	24	5	1	0	1	7	6	2	5	23	6	3	6	16	3	1	4	4	1	1	3	2	5	9	4	2	2	2	4	33	49	1114	18	6	45	4	39	12	28	57	7	8	17	17	17	16	16	14	14	13	12	5	18	13	8	5	6	4	8	8	13	9	15	10	6	10	10	8	23	77	33	25	43	4	14	14	11	2	2	5	10	4	6	4	5	2	5	5	4	8
OTU_12	32	42	35	38	58	48	30	42	50	38	59	37	41	31	47	52	57	143	110	96	62	113	101	66	36	46	59	47	53	52	44	39	32	44	49	45	79	29	0	4	0	0	0	4	0	1	0	0	1	0	0	0	2	1	1	2	4	0	1	0	0	0	0	1	0	0	1	1	2	0	1	0	1	2	0	0	2	0	0	2	2	0	1	1	10	5	0	3	9	5	4	14	18	6	10	3	1	1	4	2	6	2	4	3	1	2	0	4	2	3	3	7	5	9	11	14	17	13	14
OTU_3	14	13	21	25	9	21	25	27	53	23	46	30	22	34	55	22	29	93	87	83	55	65	41	42	22	35	32	26	33	17	47	23	31	38	37	31	60	26	1	2	0	3	4	0	1	5	2	3	1	0	1	0	2	3	0	0	1	2	2	1	4	0	5	0	0	2	2	1	0	1	3	3	3	5	0	3	4	0	2	2	1	2	3	4	12	8	9	14	36	22	27	29	40	18	16	12	16	7	9	11	9	9	7	9	8	5	2	12	12	5	13	71	31	45	48	60	64	42	58
OTU_70	1	4	4	2	3	2	2	3	7	3	121	3	5	3	3	5	642	7	262	13	4	7	6	2	0	4	1	3	4	1	312	9	2	3	8	3	9	0	0	1	0	3	0	0	0	10	0	3	1	1	0	2	38	145	0	6	16	2	2	2	1	4	16	0	1	1	7	22	41	19	13	0	7	9	12	3	6	0	7	6	4	0	5	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	6	1	0	0	1	0	0	1	0	4
OTU_13859	0	0	1	1	0	0	0	3	0	1	0	0	8	2	0	1	0	1	4	23	0	0	2	1	0	10	45	1	0	2	3	1	0	0	0	1	2	3	0	5	0	0	33	0	0	6	3	0	0	2	1	1	1	1	0	0	1	0	0	1	0	0	0	39	3	0	3	1	13	0	0	2	1	0	9	2	3	1	3	1	2	3	4	2	13	22	237	20	16	18	20	32	27	24	131	32	34	17	10	18	22	24	12	18	24	11	11	79	15	360	13	31	16	21	27	23	24	39	16
