	site1	site2	comm_sim	site_dis	compartment
162	RCCLCK3	RQYCK2	0.244318181818182	2254915.66494674	RS
163	RCCLCK3	RQYCK3	0.277818181818182	2254915.66494674	RS
164	RCCLCK3	RQYCK4	0.235818181818182	2254915.66494674	RS
165	RCCLCK3	RQYCK5	0.261090909090909	2254915.66494674	RS
166	RCCLCK3	RQYCK6	0.265045454545455	2254915.66494674	RS
167	RCCLCK3	RQYCK7	0.249636363636364	2254915.66494674	RS
168	RCCLCK3	RQYCK8	0.310363636363636	2254915.66494674	RS
169	RCCLCK3	RQYCK9	0.266727272727273	2254915.66494674	RS
170	RCCLCK3	RQYNPK1	0.203954545454545	2254915.66494674	RS
171	RCCLCK3	RQYNPK2	0.191772727272727	2254915.66494674	RS
172	RCCLCK3	RQYNPK3	0.182636363636364	2254915.66494674	RS
173	RCCLCK3	RQYNPK4	0.163909090909091	2254915.66494674	RS
174	RCCLCK3	RQYNPK5	0.160727272727273	2254915.66494674	RS
175	RCCLCK3	RQYNPK6	0.170090909090909	2254915.66494674	RS
176	RCCLCK3	RQYNPK7	0.152454545454546	2254915.66494674	RS
177	RCCLCK3	RQYNPK8	0.142863636363636	2254915.66494674	RS
178	RCCLCK3	RQYNPK9	0.156318181818182	2254915.66494674	RS
179	RCCLCK3	RQYNPKM1	0.319136363636364	2254915.66494674	RS
180	RCCLCK3	RQYNPKM2	0.317363636363636	2254915.66494674	RS
181	RCCLCK3	RQYNPKM3	0.325818181818182	2254915.66494674	RS
182	RCCLCK3	RQYNPKM4	0.325863636363636	2254915.66494674	RS
183	RCCLCK3	RQYNPKM5	0.302045454545455	2254915.66494674	RS
184	RCCLCK3	RQYNPKM6	0.322045454545455	2254915.66494674	RS
185	RCCLCK3	RQYNPKM7	0.319772727272727	2254915.66494674	RS
186	RCCLCK3	RQYNPKM8	0.325363636363636	2254915.66494674	RS
187	RCCLCK3	RQYNPKM9	0.340545454545455	2254915.66494674	RS
188	RCCLCK3	RYCCK1	0.329	1078859.66222909	RS
