Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
XEYCNPKM8	0.434	0.000203	132.1	0.706	0.376	3.72	4.47	22000	54	0.455	0.294	1.5	2.16	0.651
XEYCNPKM9	0.446	0.000268	88	0.734	0.4	4.39	5.9	22000	84	0.365	0.266	1.77	2.56	0.771
XEYYCK1	0.789	0.000121	56.1	0.37	0.248	1.84	2.65	22000	51	0.308	0.63	0.976	1.41	0.424
XEYYCK2	0.78	0.000126	67.8	0.385	0.25	1.9	2.77	22000	59	0.35	0.615	1.02	1.47	0.443
XEYYCK4	0.668	0.000186	86.6	0.535	0.321	2.63	4.09	22000	81	0.366	0.465	1.41	2.03	0.612
XEYYCK5	0.283	0.000459	115.3	0.847	0.503	7.65	10.1	22000	99	0.4	0.153	2.31	3.34	1
XEYYCK6	0.535	0.000219	78.6	0.666	0.364	3.54	4.81	22000	75	0.355	0.334	1.57	2.27	0.682
XEYYCK7	0.425	0.000318	100.4	0.765	0.431	5.09	7	22000	91	0.424	0.235	1.95	2.81	0.845
XEYYCK8	0.427	0.000281	88.8	0.746	0.41	4.6	6.19	22000	85	0.384	0.254	1.82	2.63	0.791
XEYYCK9	0.272	0.000372	89.9	0.827	0.471	6.49	8.19	22000	87	0.33	0.173	2.1	3.03	0.914
XEYYNPK1	0.437	0.000297	109.2	0.755	0.415	4.84	6.53	22000	92	0.441	0.245	1.88	2.71	0.815
XEYYNPK2	0.312	0.000351	102	0.817	0.457	6.15	7.72	22000	88	0.416	0.183	2.04	2.95	0.888
XEYYNPK3	0.516	0.000284	86.3	0.702	0.414	4.21	6.24	22000	83	0.369	0.298	1.83	2.64	0.795
XEYYNPK4	0.216	0.000414	88.1	0.853	0.501	7.48	9.11	22000	82	0.337	0.147	2.21	3.19	0.96
XEYYNPK5	0.554	0.000259	92.9	0.662	0.386	3.7	5.7	22000	91	0.293	0.338	1.74	2.51	0.756
XEYYNPK6	0.559	0.000191	59.7	0.63	0.355	3.13	4.2	22000	57	0.241	0.37	1.43	2.07	0.623
XEYYNPK8	0.293	0.000367	81.9	0.823	0.479	6.41	8.07	22000	78	0.316	0.177	2.09	3.01	0.907
XEYYNPK9	0.601	0.000199	83.5	0.609	0.363	3.09	4.39	22000	59	0.35	0.391	1.48	2.13	0.642
XEYYNPKM1	0.423	0.000281	84.5	0.743	0.426	4.57	6.19	22000	72	0.342	0.257	1.82	2.63	0.792
XEYYNPKM2	0.355	0.000289	98.8	0.774	0.426	4.97	6.35	22000	77	0.423	0.226	1.85	2.67	0.803
XEYYNPKM3	0.191	0.000574	106.4	0.885	0.554	9.92	12.6	22000	97	0.398	0.115	2.54	3.66	1.1
XEYYNPKM4	0.378	0.000289	67.6	0.77	0.442	4.96	6.36	22000	66	0.239	0.23	1.85	2.67	0.804
XEYYNPKM5	0.311	0.000363	100	0.813	0.454	6.13	7.98	22000	97	0.378	0.187	2.08	3	0.902
XEYYNPKM6	0.443	0.000312	85.3	0.755	0.436	4.94	6.87	22000	83	0.31	0.245	1.93	2.78	0.837
XEYYNPKM7	0.167	0.000617	118.1	0.9	0.56	11.2	13.6	22000	105	0.434	0.1	2.61	3.76	1.13
XEYYNPKM8	0.161	0.000603	98.1	0.897	0.572	10.9	13.3	22000	92	0.376	0.103	2.59	3.73	1.12
XEYYNPKM9	0.368	0.000423	143	0.817	0.492	6.69	9.32	22000	93	0.426	0.183	2.23	3.22	0.969
XECCCK1	0.375	0.000364	94	0.806	0.461	6.08	8.01	22000	91	0.348	0.194	2.08	3	0.904
XECCCK2	0.304	0.000421	106.3	0.838	0.508	7.13	9.26	22000	80	0.358	0.162	2.23	3.21	0.967
XECCCK3	0.518	0.000282	122.2	0.699	0.391	4.16	6.2	22000	106	0.533	0.301	1.82	2.63	0.792
XECCNPK1	0.305	0.000347	84.5	0.797	0.46	5.72	7.63	22000	83	0.31	0.203	2.03	2.93	0.883
XECCNPK2	0.405	0.000382	113.4	0.785	0.455	5.77	8.4	22000	108	0.422	0.215	2.13	3.07	0.924
XECCNPK3	0.6	0.000253	104.8	0.624	0.372	3.4	5.56	22000	100	0.366	0.376	1.71	2.47	0.745
XECCNPKM1	0.326	0.000408	84	0.834	0.498	7	8.98	22000	82	0.313	0.166	2.2	3.17	0.954
XECCNPKM2	0.343	0.000436	116.9	0.82	0.485	6.78	9.6	22000	106	0.393	0.18	2.26	3.26	0.982
XECCNPKM3	0.304	0.000449	119.4	0.836	0.489	7.26	9.89	22000	108	0.394	0.164	2.29	3.31	0.995
BJXCK1	0.118	0.0107	1794.9	0.976	0.729	80.9	234.5	22000	1792	0.389	0.0243	5.46	7.87	2.37
BJXCK2	0.125	0.0123	1863.2	0.977	0.744	91	271.2	22000	1860	0.386	0.0231	5.6	8.08	2.43
BJXCK3	0.137	0.0112	1813.2	0.974	0.734	80.3	246.8	22000	1810	0.385	0.0262	5.51	7.95	2.39
BJXCK4	0.154	0.00942	1696.3	0.969	0.718	66.1	207.3	22000	1693	0.386	0.0315	5.33	7.7	2.32
BJXCK5	0.203	0.00565	1468.5	0.948	0.662	37.7	124.3	22000	1465	0.414	0.052	4.82	6.96	2.09
BJXCK6	0.151	0.00721	1553.9	0.966	0.69	55.5	158.7	22000	1551	0.399	0.0336	5.07	7.31	2.2
BJXCK7	0.164	0.00782	1661.8	0.962	0.694	52.3	172	22000	1658	0.4	0.0385	5.15	7.43	2.24
BJXCK8	0.183	0.00828	1691.3	0.958	0.7	50.8	182.1	22000	1688	0.393	0.0423	5.2	7.51	2.26
BJXCK9	0.113	0.0131	1834.4	0.98	0.754	102.8	287.5	22000	1831	0.38	0.0201	5.66	8.17	2.46
BJXNPK1	0.0742	0.0123	1801.4	0.985	0.747	112.5	270.1	22000	1798	0.392	0.0154	5.6	8.08	2.43
BJXNPK2	0.0741	0.0123	1688.5	0.985	0.753	117.1	269.9	22000	1686	0.378	0.0147	5.6	8.08	2.43
BJXNPK3	0.0799	0.0116	1708.3	0.983	0.745	104.4	255.2	22000	1705	0.389	0.0168	5.54	8	2.41
BJXNPK4	0.0994	0.00744	1453.3	0.974	0.7	64.8	163.6	22000	1450	0.394	0.0264	5.1	7.35	2.21
BJXNPK5	0.0676	0.00873	1579	0.979	0.714	78.3	192	22000	1576	0.391	0.0209	5.26	7.59	2.28
BJXNPK6	0.0949	0.0082	1452.7	0.977	0.714	74.1	180.4	22000	1450	0.376	0.023	5.2	7.5	2.26
BJXNPK7	0.101	0.0082	1458	0.976	0.713	71.8	180.3	22000	1454	0.389	0.024	5.19	7.49	2.26
BJXNPK8	0.0677	0.0114	1790.5	0.984	0.738	103.8	250.3	22000	1787	0.408	0.0164	5.52	7.97	2.4
BJXNPK9	0.0848	0.0116	1777.1	0.984	0.74	105.2	254.2	22000	1774	0.4	0.0164	5.54	7.99	2.41
BJXNPKM1	0.0174	0.0289	2258	0.996	0.836	382.8	636.3	22000	2255	0.375	0.00374	6.46	9.31	2.8
BJXNPKM2	0.0187	0.0294	2255.4	0.996	0.838	389.8	646.7	22000	2253	0.357	0.00369	6.47	9.34	2.81
BJXNPKM3	0.0163	0.0339	2432	0.997	0.848	458.3	744.9	22000	2429	0.374	0.00311	6.61	9.54	2.87
BJXNPKM4	0.0177	0.0293	2232.5	0.996	0.839	389.4	643.5	22000	2229	0.371	0.00367	6.47	9.33	2.81
BJXNPKM5	0.0187	0.028	2222.1	0.996	0.834	365.5	615.8	22000	2219	0.379	0.00396	6.42	9.27	2.79
BJXNPKM6	0.0156	0.0279	2211.8	0.996	0.834	369.4	613.9	22000	2209	0.37	0.00384	6.42	9.26	2.79
BJXNPKM7	0.0226	0.0241	1960	0.995	0.828	312.3	530.4	22000	1958	0.325	0.00465	6.27	9.05	2.72
BJXNPKM8	0.0171	0.0292	2221.3	0.996	0.839	390.6	641.6	22000	2219	0.358	0.00364	6.46	9.33	2.81
BJXNPKM9	0.0175	0.0273	2164.5	0.996	0.833	359.1	599.6	22000	2161	0.379	0.00401	6.4	9.23	2.78
BHLCK1	0.0229	0.0241	2116.2	0.995	0.819	304.7	530.6	22000	2113	0.379	0.00478	6.27	9.05	2.72
BHLCK2	0.0216	0.0268	2218.7	0.996	0.828	339.4	588.8	22000	2216	0.372	0.00434	6.38	9.2	2.77
BHLCK3	0.018	0.0265	2162.1	0.996	0.83	349.6	583.3	22000	2159	0.383	0.00406	6.37	9.19	2.77
