OTUID	BS	P	LE	RS	RE	SE	VE
OTU_6902	3.37E-05	0.00E+00	0.00E+00	2.49E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6903	4.31E-04	0.00E+00	0.00E+00	5.42E-05	4.86E-06	0.00E+00	0.00E+00
OTU_6904	6.97E-04	0.00E+00	0.00E+00	1.29E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6905	1.17E-03	0.00E+00	0.00E+00	5.12E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6906	2.99E-04	0.00E+00	0.00E+00	1.63E-05	1.37E-05	0.00E+00	0.00E+00
OTU_6907	8.49E-04	0.00E+00	0.00E+00	1.59E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6908	1.07E-03	0.00E+00	0.00E+00	9.18E-06	0.00E+00	0.00E+00	0.00E+00
OTU_6909	2.83E-04	0.00E+00	0.00E+00	1.88E-04	1.91E-05	0.00E+00	0.00E+00
OTU_691	1.79E-01	5.23E-04	1.84E-04	9.36E-02	5.44E-02	2.13E-03	1.08E-05
OTU_6910	2.41E-04	0.00E+00	0.00E+00	1.24E-04	2.08E-05	0.00E+00	0.00E+00
OTU_6911	5.48E-04	0.00E+00	0.00E+00	2.84E-03	8.12E-06	0.00E+00	0.00E+00
OTU_6912	4.25E-04	0.00E+00	0.00E+00	1.44E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6913	2.63E-04	0.00E+00	0.00E+00	1.49E-04	1.57E-05	0.00E+00	0.00E+00
OTU_6914	4.70E-04	0.00E+00	0.00E+00	7.66E-05	1.97E-04	0.00E+00	0.00E+00
OTU_6915	1.47E-02	2.57E-06	4.19E-06	5.36E-03	8.99E-04	2.44E-05	0.00E+00
OTU_6916	5.09E-04	0.00E+00	0.00E+00	1.68E-04	5.68E-06	0.00E+00	0.00E+00
OTU_6917	5.87E-05	0.00E+00	0.00E+00	7.44E-05	5.92E-04	4.75E-04	0.00E+00
OTU_6918	1.19E-04	0.00E+00	0.00E+00	1.93E-04	1.84E-04	0.00E+00	0.00E+00
OTU_6919	2.67E-04	0.00E+00	0.00E+00	2.00E-04	2.32E-04	2.27E-04	0.00E+00
OTU_692	1.31E-02	3.75E-04	1.29E-04	1.92E-02	2.20E-02	1.12E-02	1.80E-05
OTU_6924	1.15E-04	1.48E-05	0.00E+00	1.24E-04	5.53E-06	2.64E-03	6.33E-06
OTU_6925	3.17E-06	0.00E+00	0.00E+00	1.05E-05	5.68E-06	0.00E+00	0.00E+00
OTU_6926	2.86E-04	5.10E-06	0.00E+00	4.31E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6927	2.56E-04	0.00E+00	0.00E+00	6.22E-04	5.40E-05	0.00E+00	0.00E+00
OTU_6928	2.34E-03	0.00E+00	0.00E+00	2.92E-04	0.00E+00	0.00E+00	0.00E+00
OTU_6929	3.98E-04	0.00E+00	0.00E+00	1.52E-04	0.00E+00	0.00E+00	0.00E+00
OTU_693	3.31E-02	7.66E-06	4.65E-05	1.16E-02	2.10E-04	3.59E-04	0.00E+00
OTU_6930	1.68E-03	4.96E-05	0.00E+00	5.45E-04	1.30E-05	0.00E+00	0.00E+00
OTU_6931	1.28E-04	2.57E-06	0.00E+00	1.53E-04	1.60E-05	0.00E+00	0.00E+00
OTU_6932	3.02E-03	3.56E-05	3.14E-06	3.31E-03	1.42E-04	2.80E-04	0.00E+00
OTU_6933	7.21E-04	9.41E-06	4.39E-06	6.95E-04	3.65E-05	1.07E-04	0.00E+00
OTU_6934	1.09E-03	0.00E+00	0.00E+00	2.74E-04	1.23E-04	0.00E+00	0.00E+00
OTU_6935	3.61E-04	3.04E-05	0.00E+00	9.25E-04	1.99E-04	0.00E+00	4.02E-06
OTU_6936	4.83E-04	0.00E+00	1.60E-05	2.06E-04	1.73E-05	0.00E+00	0.00E+00
OTU_6937	1.07E-04	0.00E+00	0.00E+00	8.73E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6938	8.14E-04	0.00E+00	0.00E+00	2.81E-04	1.84E-05	0.00E+00	0.00E+00
OTU_6939	2.81E-04	3.67E-06	3.88E-05	2.09E-04	2.71E-05	0.00E+00	0.00E+00
OTU_694	2.71E-02	6.25E-05	5.14E-05	2.06E-02	1.38E-03	2.32E-03	2.76E-06
OTU_6940	6.08E-04	0.00E+00	0.00E+00	3.82E-04	5.47E-05	0.00E+00	0.00E+00
OTU_6941	2.28E-03	0.00E+00	0.00E+00	2.81E-04	3.18E-05	0.00E+00	0.00E+00
OTU_6942	3.84E-04	0.00E+00	0.00E+00	2.68E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6943	1.40E-04	0.00E+00	0.00E+00	1.61E-04	7.46E-06	0.00E+00	0.00E+00
OTU_6944	2.04E-04	0.00E+00	0.00E+00	1.40E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6945	6.57E-05	0.00E+00	0.00E+00	3.91E-05	0.00E+00	0.00E+00	0.00E+00
OTU_6946	2.73E-05	0.00E+00	0.00E+00	2.09E-05	0.00E+00	3.30E-04	0.00E+00
OTU_6947	3.23E-04	0.00E+00	0.00E+00	7.91E-06	0.00E+00	0.00E+00	0.00E+00
OTU_6948	4.45E-04	0.00E+00	0.00E+00	2.19E-04	1.03E-05	0.00E+00	0.00E+00
OTU_6949	4.54E-04	1.12E-05	0.00E+00	2.45E-04	2.09E-05	0.00E+00	0.00E+00
OTU_695	3.29E-02	9.96E-06	1.12E-05	1.15E-02	2.22E-04	0.00E+00	0.00E+00
