	otu	otu_occ	otu_rel
238	OTU_1854	0.033333333	1.717051e-06
239	OTU_7673	0.291666667	2.633185e-06
240	OTU_111	0.216666667	2.383146e-06
241	OTU_602	0.241666667	2.692072e-06
242	OTU_65	0.283333333	2.834435e-06
243	OTU_3068	0.183333333	2.620172e-06
244	OTU_12443	0.166666667	2.598950e-06
245	OTU_1256	0.200000000	1.869237e-06
246	OTU_958	0.183333333	2.077030e-06
247	OTU_151	0.133333333	2.898292e-06
248	OTU_5570	0.241666667	2.250403e-06
249	OTU_38	0.275000000	2.219048e-06
250	OTU_532	0.241666667	2.440844e-06
251	OTU_5865	0.175000000	1.864381e-06
252	OTU_11402	0.225000000	2.259231e-06
253	OTU_1176	0.033333333	1.626664e-06
254	OTU_950	0.041666667	2.645194e-06
255	OTU_11904	0.025000000	2.728024e-06
256	OTU_68	0.283333333	2.298367e-06
257	OTU_1520	0.083333333	2.004315e-06
258	OTU_1319	0.050000000	1.845959e-06
259	OTU_1292	0.083333333	4.794735e-06
260	OTU_1336	0.033333333	1.278578e-06
261	OTU_1505	0.225000000	2.564328e-06
262	OTU_34	0.266666667	2.046200e-06
263	OTU_225	0.175000000	1.593853e-06
264	OTU_82	0.241666667	1.763597e-06
265	OTU_156	0.050000000	1.391848e-06
266	OTU_12277	0.133333333	2.308971e-06
267	OTU_8004	0.258333333	1.793061e-06
268	OTU_13836	0.191666667	2.412219e-06
269	OTU_10313	0.100000000	1.430229e-06
270	OTU_5867	0.233333333	1.689158e-06
271	OTU_629	0.175000000	1.808777e-06
272	OTU_5972	0.191666667	1.841624e-06
273	OTU_2464	0.091666667	3.329114e-06
274	OTU_6305	0.033333333	2.343828e-06
275	OTU_58	0.241666667	2.410893e-06
276	OTU_101	0.208333333	1.419514e-06
277	OTU_5568	0.216666667	1.712134e-06
278	OTU_3540	0.066666667	1.141043e-06
279	OTU_503	0.075000000	1.617371e-06
280	OTU_534	0.200000000	2.108433e-06
281	OTU_1039	0.025000000	2.200710e-06
282	OTU_4607	0.033333333	1.997034e-06
283	OTU_8255	0.025000000	1.534252e-06
284	OTU_1691	0.116666667	2.324135e-06
285	OTU_9234	0.033333333	1.380353e-06
286	OTU_56	0.216666667	1.325379e-06
287	OTU_3345	0.108333333	1.235896e-06
288	OTU_163	0.175000000	1.451566e-06
289	OTU_476	0.025000000	1.121458e-06
290	OTU_253	0.008333333	2.204886e-06
291	OTU_1848	0.141666667	2.199026e-06
292	OTU_10578	0.100000000	1.958113e-06
293	OTU_85	0.216666667	1.469231e-06
294	OTU_865	0.091666667	1.597933e-06
295	OTU_639	0.166666667	1.435378e-06
296	OTU_11825	0.100000000	1.160470e-06
297	OTU_57	0.225000000	1.317386e-06
298	OTU_3229	0.125000000	2.169208e-06
299	OTU_547	0.133333333	1.625730e-06
300	OTU_6057	0.025000000	7.266643e-07
301	OTU_421	0.066666667	1.726327e-06
302	OTU_1086	0.116666667	1.630072e-06
303	OTU_1014	0.158333333	1.241279e-06
304	OTU_214	0.175000000	1.783651e-06
305	OTU_4268	0.100000000	1.665971e-06
306	OTU_631	0.100000000	1.387600e-06
307	OTU_8847	0.116666667	1.360065e-06
308	OTU_11352	0.033333333	1.809005e-06
309	OTU_164	0.183333333	1.056014e-06
310	OTU_5626	0.141666667	1.149226e-06
311	OTU_73	0.191666667	1.323153e-06
312	OTU_110	0.141666667	9.755584e-07
313	OTU_152	0.016666667	6.398059e-07
314	OTU_571	0.183333333	1.364923e-06
315	OTU_122	0.133333333	1.041837e-06
316	OTU_107	0.066666667	1.037483e-06
317	OTU_9397	0.158333333	1.141950e-06
318	OTU_1620	0.041666667	1.594226e-06
319	OTU_3461	0.183333333	1.472660e-06
320	OTU_211	0.066666667	1.459461e-06
321	OTU_13084	0.066666667	1.423022e-06
322	OTU_3986	0.166666667	1.084835e-06
323	OTU_1539	0.025000000	1.128353e-06
324	OTU_5291	0.125000000	1.328915e-06
325	OTU_2392	0.058333333	6.970050e-07
326	OTU_71	0.091666667	1.060788e-06
327	OTU_228	0.133333333	2.417763e-06
328	OTU_97	0.183333333	1.183871e-06
329	OTU_1438	0.033333333	1.510525e-06
330	OTU_301	0.125000000	1.074750e-06
331	OTU_3797	0.025000000	2.528367e-06
332	OTU_11903	0.033333333	1.358569e-06
333	OTU_11905	0.008333333	1.505219e-06
334	OTU_62	0.116666667	9.847881e-07
335	OTU_523	0.133333333	1.020348e-06
336	OTU_1407	0.100000000	9.017685e-07
337	OTU_5019	0.108333333	1.554179e-06
338	OTU_3494	0.083333333	1.466399e-06
339	OTU_54	0.075000000	6.974118e-07
340	OTU_442	0.158333333	1.236909e-06
341	OTU_373	0.141666667	9.004519e-07
342	OTU_1884	0.033333333	1.075910e-06
343	OTU_8450	0.025000000	8.326652e-07
344	OTU_182	0.158333333	1.161114e-06
345	OTU_5290	0.150000000	9.989148e-07
346	OTU_3657	0.091666667	1.119503e-06
347	OTU_4263	0.125000000	1.085253e-06
348	OTU_1623	0.108333333	1.001015e-06
349	OTU_3178	0.016666667	4.846611e-07
350	OTU_63	0.108333333	1.082949e-06
351	OTU_134	0.108333333	8.145828e-07
352	OTU_3089	0.083333333	1.271069e-06
353	OTU_2135	0.041666667	9.313039e-07
354	OTU_2070	0.050000000	1.132861e-06
355	OTU_7538	0.141666667	8.026781e-07
356	OTU_6027	0.025000000	9.860282e-07
357	OTU_422	0.066666667	1.189096e-06
358	OTU_260	0.133333333	9.817863e-07
359	OTU_172	0.041666667	6.269293e-07
360	OTU_5763	0.075000000	9.054464e-07
361	OTU_405	0.108333333	9.131874e-07
362	OTU_823	0.125000000	1.181841e-06
363	OTU_5874	0.083333333	7.048044e-07
364	OTU_8021	0.141666667	1.510363e-06
365	OTU_8610	0.141666667	7.003378e-07
366	OTU_10506	0.108333333	9.530260e-07
367	OTU_66	0.125000000	9.595778e-07
368	OTU_120	0.033333333	6.064793e-07
369	OTU_2241	0.108333333	7.414652e-07
370	OTU_2492	0.041666667	4.890150e-07
371	OTU_6757	0.050000000	8.026155e-07
372	OTU_2419	0.016666667	5.505989e-07
