	XEQYCK1	XEQYCK4	XEQYCK5	XEQYCK6	XEQYCK7	XEQYCK8	XEQYCK9	XEQYNPK1	XEQYNPK2	XEQYNPK4	XEQYNPK6	XEQYNPK7	XEQYNPK8	XEQYNPK9	XEQYNPKM1	XEQYNPKM2	XEQYNPKM3	XEQYNPKM4	XEQYNPKM5	XEQYNPKM6	XEQYNPKM7	XEQYNPKM8	XEQYNPKM9	XEYCCK1	XEYCCK2	XEYCCK3	XEYCCK4	XEYCCK5	XEYCCK6	XEYCCK7	XEYCCK8	XEYCCK9	XEYCNPK1	XEYCNPK2	XEYCNPK3	XEYCNPK4	XEYCNPK5	XEYCNPK6	XEYCNPK7	XEYCNPK8	XEYCNPK9	XEYCNPKM1	XEYCNPKM2	XEYCNPKM3	XEYCNPKM4	XEYCNPKM5	XEYCNPKM6	XEYCNPKM7	XEYCNPKM8	XEYCNPKM9	XEYYCK1	XEYYCK2	XEYYCK4	XEYYCK5	XEYYCK6	XEYYCK7	XEYYCK8	XEYYCK9	XEYYNPK1	XEYYNPK2	XEYYNPK3	XEYYNPK4	XEYYNPK5	XEYYNPK6	XEYYNPK8	XEYYNPK9	XEYYNPKM1	XEYYNPKM2	XEYYNPKM3	XEYYNPKM4	XEYYNPKM5	XEYYNPKM6	XEYYNPKM7	XEYYNPKM8	XEYYNPKM9	XECCCK1	XECCCK2	XECCCK3	XECCNPK1	XECCNPK2	XECCNPK3	XECCNPKM1	XECCNPKM2	XECCNPKM3	XEJX20CK1	XEJX20CK2	XEJX20CK3	XEJX20CK4	XEJX20CK5	XEJX20CK6	XEJX20CK7	XEJX20CK8	XEJX20CK9	XEJX20NPK1	XEJX20NPK2	XEJX20NPK3	XEJX20NPK4	XEJX20NPK5	XEJX20NPK6	XEJX20NPK7	XEJX20NPK8	XEJX20NPK9	XEJX20NPKM1	XEJX20NPKM2	XEJX20NPKM3	XEJX20NPKM4	XEJX20NPKM5	XEJX20NPKM6	XEJX20NPKM7	XEJX20NPKM8	XEJX20NPKM9	XEHL20CK1	XEHL20CK2	XEHL20CK3	XEHL20NPK1	XEHL20NPK2	XEHL20NPK3	XEHL20NPKM1	XEHL20NPKM2	XEHL20NPKM3
OTU_25	57	58	42	39	114	76	65	1075	2153	54	2476	48	85	225	166	39	308	92	6416	659	186	72	2144	21	20	104	96	57	81	131	143	114	346	274	94	78	174	58	113	150	50	202	98	156	57	114	82	132	130	131	75	81	279	454	319	151	1899	363	200	823	79	68	328	70	624	125	1123	151	7245	2211	209	240	1011	1746	2425	93	246	129	81	353	357	66	306	59	0	3	0	0	2	2	5	10	0	1	0	1	5	10	3	2	4	2	1	47	0	1	0	1	4	28	2	3	2	2	0	1	2	1	1	1
OTU_843	0	3	0	0	4	2	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	0	0	0	94	36	1	6	2	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	162	232	144	45	155	128	298	259	132	319	192	140	518	1874	321	148	395	295	321	76	34	119	228	355	841	30693	124	397	227	378	111	241	136	142	86	196
OTU_37	30	17	19	20	39	62	18	30	61	711	26	29	35	24	53	19	26630	59	140	164	24	51	39	10	10	47	58	16	51	297	4910	108	40	178	35	29	433	23	18	9	7	49	21	16	18	21	5	15	12	4	6	7	124	1146	35	454	43	22	7	10	1	0	348	5	184	2	34	14	96	206	5	10	8	17	33	8	13	8	7	12	23	23	12	2	0	0	0	0	0	0	0	1	2	1	2	0	0	3	7	0	4	1	0	2	0	0	0	0	217	116	4	6	3	1	0	0	0	0	0	3
OTU_39	669	605	137	589	425	601	273	258	542	335	155	202	205	325	508	240	515	455	599	3953	167	446	226	95	99	387	412	184	484	380	320	328	304	710	311	363	320	202	99	65	75	120	59	110	97	74	140	80	106	139	61	31	30	168	188	137	134	186	283	129	43	11215	106	44	420	48	94	113	335	114	22	95	75	104	54	78	126	53	71	302	243	60	2551	33	0	1	0	0	7	7	36	12	2	424	3	2	3	20	45	1	2	0	3	0	0	0	1	0	3	2	0	7	1	2	2	2	0	2	0	1
OTU_15	72	55	42	242	115	105	65	63	135	1520	25	47	57	73	143	64	61	1893	90	168	278	127	339	33	22	112	111	83	85	82	81	87	112	244	99	87	102	108	69	70	80	98	48	56	49	63	56	93	53	56	9545	11217	36	227	93	50	65	97	38	45	12	43	45	36	59	49	54	76	81	127	11	30	18	22	16	36	63	74	44	93	88	41	104	17	12	19	15	5	19	14	41	39	26	39	18	19	49	151	51	12	59	40	25	11	3	12	32	61	65	10	17	46	44	63	8	29	22	18	8	34
OTU_4	519	572	362	395	943	925	660	354	1008	570	238	548	494	727	1207	536	540	1014	1021	1007	338	815	559	239	250	881	1052	642	762	772	680	806	836	1881	808	860	787	618	13	6	3	49	5	4	2	11	5	9	8	8	4	6	4	6	10	6	11	8	6	2	4	4	4	2	6	8	3	3	0	3	5	5	3	5	2	6	97	16	11	22	17	5	13	7	12	28	22	3	16	28	63	48	27	34	20	21	79	211	73	25	78	44	53	9	1	26	31	66	85	13	10	104	32	55	16	45	14	23	19	33
OTU_13615	37	31	57	38	38	61	36	15	37	25	44	143	46	160	148	52	71	375	103	50	55	30	63	5	15	101	283	55	59	597	46	45	63	321	83	141	131	255	429	279	80	88	313	374	219	92	138	127	231	63	84	115	51	129	144	355	164	527	547	420	602	96	233	278	148	280	285	2597	1506	594	73	83	33	76	82	84	316	427	228	214	65	197	121	57	41	75	280	13	41	64	158	104	55	84	209	37	137	1224	158	162	245	110	151	81	17	368	86	777	261	1103	31	178	275	105	15	76	35	28	27	32
OTU_12	369	423	264	312	629	609	449	321	693	449	190	341	398	555	796	377	449	751	668	594	244	667	413	147	155	590	758	423	561	560	510	597	522	1188	480	579	496	338	7	58	8	16	5	15	6	9	3	5	14	6	3	8	3	6	19	10	9	4	8	2	2	2	8	5	5	7	6	6	6	9	1	1	2	3	3	4	11	5	6	13	8	1	7	3	20	29	19	7	27	36	68	84	57	47	44	14	73	219	60	26	59	56	41	12	3	19	28	86	93	21	23	46	38	50	6	43	16	22	15	17
OTU_331	77	64	10	12	47	38	24	13824	52	30	112	19	527	38	60	18	40	24	814	198	82	26	9	7	12	42	42	30	39	49	28	34	42	112	43	30	41	15	3	0	2	3	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	25	0	0	8	6	1	3	6	23	17	13	6	11	5	20	54	7	7	21	10	13	2	0	3	12	8	34	1907	2	6	7	9	2	7	2	4	4	6
OTU_3	246	247	155	206	356	403	272	205	486	315	132	195	201	301	731	219	328	443	525	428	205	486	203	102	116	357	408	280	300	336	339	291	388	908	347	323	402	219	11	14	19	30	18	16	13	20	15	26	21	15	8	11	7	12	14	11	13	15	9	13	12	5	47	5	5	15	17	8	9	12	3	7	9	11	3	7	32	10	8	18	16	4	17	7	77	71	57	31	88	86	230	159	155	142	102	58	198	706	192	88	223	171	138	45	19	67	110	238	368	81	62	278	187	216	42	160	63	73	45	96
OTU_94	3	2	8	1	7	122	7	1005	12	7	505	0	25	1	8	8	39	16	39	22	12	5	827	2	3	7	9	10	8	9	39	9	41	16	3	18	15	4	8	8	4	9	8	66	15	14	3	8	13	7	6	7	1025	40	14	18	9	81	10	9	11	4	34	8	9	8	2359	46	15	1199	0	10	7	12	819	4	12	10	18	22	20	18	24	8	15	18	16	7	24	20	45	44	16	37	22	10	55	221	42	18	42	24	80	338	2	528	29	29	84	77	6247	30	19	60	3	55	6	11	6	9
OTU_3415	1	7	0	0	1	1	0	0	0	0	4	0	3	1	1	1	3	0	0	1	1	1	81	0	1	1	1	0	0	0	1	1	5	1	1	0	17	1	27	55	21	33	17	36	28	24	17	20	16	29	31	18	14225	245	50	28	32	62	18	13	10	16	29	13	38	18	26	31	1108	38	7	190	51	23	24	15	21	23	28	47	66	8	79	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	25	0	0	0	0	0	0	0	0	0	2
OTU_1735	35	33	76	68	58	50	29	27	58	47	16	35	36	39	202	58	80	56	146	43	91	343	83	6	20	45	99	57	77	280	56	34	116	1128	222	68	120	55	2935	56	43	52	63	83	313	37	47	38	259	34	16	24	27	35	38	62	43	91	31	28	13	68	68	38	27	46	44	93	32	39	10	38	12	16	8	56	226	227	219	349	26	13	59	36	36	51	40	11	28	40	71	67	40	168	47	34	106	384	66	45	65	73	98	18	16	38	57	79	170	25	67	279	378	2775	18	1242	35	149	40	38
OTU_70	36	39	17	25	30	33	16	39	38	22	401	26	30	37	53	13	7468	33	1492	68	22	44	24	8	7	37	45	20	29	43	2697	47	32	86	36	31	20	21	6	9	3	45	6	8	6	38	4	24	8	12	4	10	243	1264	16	58	69	14	11	10	3	8	83	7	14	3	75	211	184	203	15	5	22	38	41	5	35	8	18	26	20	7	23	5	0	0	1	0	3	1	0	1	1	0	2	4	1	5	1	1	31	0	0	2	0	0	0	1	2	38	5	5	1	1	0	0	0	1	0	6
OTU_44	8	10	7	17	25	16	15	20	20	20	671	18	57	23	30	11	770	31	403	3104	16	24	8	4	2	18	27	11	20	26	13	8	9	48	13	7	29	13	38	33	43	62	26	51	36	34	31	56	35	43	15	21	21	64	74	68	53	81	47	45	21	22	32	18	61	33	112	42	1218	73	45	34	1293	1225	4549	36	61	58	25	101	113	32	98	24	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	52	2	3	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	1
